Stock,Model,Horizon_H,Horizon_Type,Hypothesis,Regime,MAE,RMSE,R2,Direction_Accuracy
TTG,LSTM_MLP,5,short,H4,HighVol,0.09150058919548366,0.13402826878147375,-2.263126305538253,0.5369369369369369
TTG,SVR,10,short,H4,Overall,0.2253125901395203,0.2742582852644055,-5.385285714344914,0.44765342960288806
TTG,SVR,10,short,H4,HighVol,0.2253125901395203,0.2742582852644055,-5.385285714344914,0.44765342960288806
TTG,RF,10,short,H4,Overall,0.07280040185599271,0.1106217273002485,-0.03882332661665866,0.5126353790613718
TTG,RF,10,short,H4,HighVol,0.07280040185599271,0.1106217273002485,-0.03882332661665866,0.5126353790613718
TTG,LSTM_MLP,10,short,H4,Overall,0.10727484517730758,0.15645466112213316,-1.077963116521091,0.5054151624548736
TTG,LSTM_MLP,10,short,H4,HighVol,0.10727484517730758,0.15645466112213316,-1.077963116521091,0.5054151624548736
TTG,SVR,30,medium,H4,Overall,0.22449590821873336,0.2837649367979732,-1.988251875976486,0.4709090909090909
TTG,SVR,30,medium,H4,HighVol,0.22449590821873336,0.2837649367979732,-1.988251875976486,0.4709090909090909
TTG,RF,30,medium,H4,Overall,0.13233059763237473,0.18187257515929156,-0.22753581089123798,0.49272727272727274
TTG,RF,30,medium,H4,HighVol,0.13233059763237473,0.18187257515929156,-0.22753581089123798,0.49272727272727274
TTG,LSTM_MLP,30,medium,H4,Overall,0.13959761994962544,0.19592269938479706,-0.42452229285403087,0.48727272727272725
TTG,LSTM_MLP,30,medium,H4,HighVol,0.13959761994962544,0.19592269938479706,-0.42452229285403087,0.48727272727272725
TTG,SVR,60,long,H4,Overall,0.33573616772420584,0.44703260996323735,-4.105619305531942,0.4227941176470588
TTG,SVR,60,long,H4,HighVol,0.33573616772420584,0.44703260996323735,-4.105619305531942,0.4227941176470588
TTG,RF,60,long,H4,Overall,0.17057629086589887,0.2047557267918339,-0.07112987795249426,0.5238970588235294
TTG,RF,60,long,H4,HighVol,0.17057629086589887,0.2047557267918339,-0.07112987795249426,0.5238970588235294
TTG,LSTM_MLP,60,long,H4,Overall,0.19830860839881648,0.2785933516344057,-0.9829488662754924,0.4632352941176471
TTG,LSTM_MLP,60,long,H4,HighVol,0.19830860839881648,0.2785933516344057,-0.9829488662754924,0.4632352941176471
VID,SVR,5,short,H4,Overall,0.053601559422790594,0.08612983908205427,-0.13317556524270224,0.4936936936936937
VID,SVR,5,short,H4,HighVol,0.053601559422790594,0.08612983908205427,-0.13317556524270224,0.4936936936936937
VID,RF,5,short,H4,Overall,0.10130332472867778,0.12764327712722573,-1.4887760634559695,0.37117117117117115
VID,RF,5,short,H4,HighVol,0.10130332472867778,0.12764327712722573,-1.4887760634559695,0.37117117117117115
