Stock,FeatureSet,FeatureCount,Hypothesis,MAE,RMSE,R2,Direction_Accuracy
SPX,Full_Features,17,H2,0.0320002581381065,0.039589213788320664,-0.17387630643224972,0.4540540540540541
SYNT,Price_Only,5,H2,0.11729527197674723,0.15497844065676075,-1.8811125276602287,0.5495495495495496
SYNT,Price_Tech,13,H2,0.27624114119877236,0.3072411590104476,-10.323389246583956,0.5891891891891892
SYNT,Full_Features,17,H2,0.1956663675350093,0.22676688246688448,-5.168462178460179,0.5891891891891892
VP,Price_Only,5,H2,0.048393644852205445,0.07030489950298269,-2.6364496272100926,0.4846846846846847
VP,Price_Tech,13,H2,0.03723225826977272,0.05063256984965279,-0.8861070286266299,0.5081081081081081
VP,Full_Features,17,H2,0.03870221912036908,0.052142386617711506,-1.0002680743546635,0.4954954954954955
SRE,Price_Only,5,H2,0.03065055396576624,0.040413354578964215,-0.19975184034295057,0.5243243243243243
SRE,Price_Tech,13,H2,0.03518573451888317,0.04371321445164009,-0.403676758925295,0.4648648648648649
SRE,Full_Features,17,H2,0.03192591304458274,0.040269184045637736,-0.19120712337673007,0.5009009009009009
MGAM,Price_Only,5,H2,0.02702888786979858,0.036332091665339614,-0.08161441521870216,0.4828828828828829
MGAM,Price_Tech,13,H2,0.02920651882585169,0.038677480675552614,-0.22576726732660535,0.5099099099099099
MGAM,Full_Features,17,H2,0.028471112145057674,0.036604156026074856,-0.0978738983453229,0.5261261261261261
ICGT,Price_Only,5,H2,0.024979983297202094,0.031483756805010255,-0.1727338065138102,0.5117117117117117
ICGT,Price_Tech,13,H2,0.02616114017584003,0.033216918695991464,-0.30540428416534415,0.47387387387387386
ICGT,Full_Features,17,H2,0.027673781436250877,0.03531151518942146,-0.4752276818428407,0.5045045045045045
PAY,Price_Only,5,H2,0.04398167877111878,0.054523913176276216,-1.0524464008650898,0.46306306306306305
PAY,Price_Tech,13,H2,0.060035654492291535,0.07053894858977211,-2.435229474930534,0.43963963963963965
PAY,Full_Features,17,H2,0.059758146634758515,0.0704797540497298,-2.4294663749422654,0.4990990990990991
BIOG,Price_Only,5,H2,0.02611868313400088,0.03332533250074284,-0.100879361444556,0.5063063063063064
BIOG,Price_Tech,13,H2,0.030156105235131375,0.03788506170937268,-0.4227439431584452,0.4918918918918919
BIOG,Full_Features,17,H2,0.030205170469247953,0.038434789004797736,-0.4643326638267411,0.5117117117117117
GSK,Price_Only,5,H2,0.02216952893878604,0.02821903558741914,-0.05244904176055942,0.5423423423423424
GSK,Price_Tech,13,H2,0.022113577064468558,0.0286632574940307,-0.08584499236419263,0.5441441441441441
GSK,Full_Features,17,H2,0.023730805878559216,0.0301736345795204,-0.20329467693123582,0.5459459459459459
JCGI,Price_Only,5,H2,0.03786536916619664,0.05156008806258702,-0.11602661175356932,0.42882882882882883
JCGI,Price_Tech,13,H2,0.03937395049222068,0.054121002280955115,-0.22964263034876553,0.4810810810810811
JCGI,Full_Features,17,H2,0.039099724650194366,0.05280094376057073,-0.17039004714112926,0.4648648648648649
IBT,Price_Only,5,H2,0.022602239278812088,0.0292650154736272,-0.26197309093614396,0.47387387387387386
IBT,Price_Tech,13,H2,0.02205999963218071,0.02781874093344939,-0.14032204041047547,0.5297297297297298
IBT,Full_Features,17,H2,0.02060662120897043,0.02696616498560485,-0.07149698414674743,0.554954954954955
BGCG,Price_Only,5,H2,0.03209228769558936,0.04337710169435616,-0.15527776027138374,0.45765765765765765
BGCG,Price_Tech,13,H2,0.031885685520539844,0.04255542122332695,-0.11192408907372409,0.4882882882882883
BGCG,Full_Features,17,H2,0.029738777349671664,0.040467639767356116,-0.005497748593648488,0.4954954954954955
BKG,Price_Only,5,H2,0.02663879715873276,0.03374558082521257,-0.15512507584188162,0.4882882882882883
BKG,Price_Tech,13,H2,0.02693942708117311,0.034553770002402256,-0.21111692399979298,0.4954954954954955
BKG,Full_Features,17,H2,0.026752402092118995,0.03495010978565994,-0.23905985203521962,0.5621621621621622
FRAS,Price_Only,5,H2,0.030996171340520618,0.042890562391104683,-0.17860910008925002,0.5261261261261261
FRAS,Price_Tech,13,H2,0.04282303141029013,0.05448693456251145,-0.9020899837184042,0.5243243243243243
FRAS,Full_Features,17,H2,0.05312205150585817,0.06440836368762923,-1.6578522823280641,0.4864864864864865
GNS,Price_Only,5,H2,0.041602947332650124,0.0551269595923637,-0.18091540685472585,0.5081081081081081
GNS,Price_Tech,13,H2,0.03991252476958793,0.05276006070549183,-0.08168617908870224,0.518918918918919
