Stock,Model,Hypothesis,Regime,MAE,RMSE,R2,Direction_Accuracy
SPX,LSTM_MLP,H1,Overall,0.06568805974326435,0.08304695487374672,-4.165543318168524,0.5351351351351351
SPX,LSTM_MLP,H1,HighVol,0.06568805974326435,0.08304695487374672,-4.165543318168524,0.5351351351351351
SYNT,SVR,H1,Overall,0.12156488248247015,0.16883306992651267,-2.419264379370001,0.5927927927927928
SYNT,SVR,H1,HighVol,0.12156488248247015,0.16883306992651267,-2.419264379370001,0.5927927927927928
SYNT,RF,H1,Overall,0.19550412650701424,0.2265807604800253,-5.1583406362817215,0.5891891891891892
SYNT,RF,H1,HighVol,0.19550412650701424,0.2265807604800253,-5.1583406362817215,0.5891891891891892
SYNT,LSTM_MLP,H1,Overall,0.23178308246673426,0.2639069901178251,-7.354480203496198,0.5945945945945946
SYNT,LSTM_MLP,H1,HighVol,0.23178308246673426,0.2639069901178251,-7.354480203496198,0.5945945945945946
VP,SVR,H1,Overall,0.03642537384982145,0.047935437155672424,-0.6905179137317077,0.4954954954954955
VP,SVR,H1,HighVol,0.03642537384982145,0.047935437155672424,-0.6905179137317077,0.4954954954954955
VP,RF,H1,Overall,0.036869215086899665,0.0503459773911415,-0.8648158222893407,0.4954954954954955
VP,RF,H1,HighVol,0.036869215086899665,0.0503459773911415,-0.8648158222893407,0.4954954954954955
VP,LSTM_MLP,H1,Overall,0.05595112216058507,0.07263589764618458,-2.881584173509573,0.4144144144144144
VP,LSTM_MLP,H1,HighVol,0.05595112216058507,0.07263589764618458,-2.881584173509573,0.4144144144144144
SRE,SVR,H1,Overall,0.03710478231822494,0.04688800055027942,-0.6149721937828223,0.4756756756756757
SRE,SVR,H1,HighVol,0.03710478231822494,0.04688800055027942,-0.6149721937828223,0.4756756756756757
SRE,RF,H1,Overall,0.031334674861345675,0.039590392729532714,-0.15138678885136647,0.4918918918918919
SRE,RF,H1,HighVol,0.031334674861345675,0.039590392729532714,-0.15138678885136647,0.4918918918918919
SRE,LSTM_MLP,H1,Overall,0.06418076567671309,0.07743176042970944,-3.4043303747924423,0.5351351351351351
SRE,LSTM_MLP,H1,HighVol,0.06418076567671309,0.07743176042970944,-3.4043303747924423,0.5351351351351351
MGAM,SVR,H1,Overall,0.029779555998677123,0.03773769500744707,-0.16692355037112283,0.4702702702702703
MGAM,SVR,H1,HighVol,0.029779555998677123,0.03773769500744707,-0.16692355037112283,0.4702702702702703
